,index,Date,unemployment rate
0,0,1970-03-01,9.01386
1,1,1970-04-01,9.01386
2,2,1970-05-01,9.01386
3,3,1970-06-01,9.02202
4,4,1970-07-01,9.02202
5,5,1970-08-01,9.02202
6,6,1970-09-01,9.03527
7,7,1970-10-01,9.03527
8,8,1970-11-01,9.03527
9,9,1970-12-01,9.05361
10,10,1971-01-01,9.05361
11,11,1971-01-03,9.05361
12,12,1971-01-06,9.05361
13,13,1971-01-09,9.05361
14,14,1971-01-12,9.05361
15,15,1971-02-01,9.05361
16,16,1971-03-01,9.07704
17,17,1971-04-01,9.07704
18,18,1971-05-01,9.07704
19,19,1971-06-01,9.10555
20,20,1971-07-01,9.10555
21,21,1971-08-01,9.10555
22,22,1971-09-01,9.13916
23,23,1971-10-01,9.13916
24,24,1971-11-01,9.13916
25,25,1971-12-01,9.17784
26,26,1972-01-01,9.17784
27,27,1972-01-03,9.17784
28,28,1972-01-06,9.17784
29,29,1972-01-09,9.17784
30,30,1972-01-12,9.17784
31,31,1972-02-01,9.17784
32,32,1972-03-01,9.48234
33,33,1972-04-01,9.48234
34,34,1972-05-01,9.48234
35,35,1972-06-01,9.42692
36,36,1972-07-01,9.42692
37,37,1972-08-01,9.42692
38,38,1972-09-01,9.27229
39,39,1972-10-01,9.27229
40,40,1972-11-01,9.27229
41,41,1972-12-01,9.01846
42,42,1973-01-01,9.01846
43,43,1973-01-03,9.01846
44,44,1973-01-06,9.01846
45,45,1973-01-09,9.01846
46,46,1973-01-12,9.01846
47,47,1973-02-01,9.01846
48,48,1973-03-01,8.36156
49,49,1973-04-01,8.36156
50,50,1973-05-01,8.36156
51,51,1973-06-01,8.03087
52,52,1973-07-01,8.03087
53,53,1973-08-01,8.03087
54,54,1973-09-01,7.72253
55,55,1973-10-01,7.72253
56,56,1973-11-01,7.72253
57,57,1973-12-01,7.43652
58,58,1974-01-01,7.43652
59,59,1974-01-03,7.43652
60,60,1974-01-06,7.43652
61,61,1974-01-09,7.43652
62,62,1974-01-12,7.43652
63,63,1974-02-01,7.43652
64,64,1974-03-01,7.13417
65,65,1974-04-01,7.13417
66,66,1974-05-01,7.13417
67,67,1974-06-01,6.90832
68,68,1974-07-01,6.90832
69,69,1974-08-01,6.90832
70,70,1974-09-01,6.720280000000002
71,71,1974-10-01,6.720280000000002
72,72,1974-11-01,6.720280000000002
73,73,1974-12-01,6.570060000000002
74,74,1975-01-01,6.570060000000002
75,75,1975-01-03,6.570060000000002
76,76,1975-01-06,6.570060000000002
77,77,1975-01-09,6.570060000000002
78,78,1975-01-12,6.570060000000002
79,79,1975-02-01,6.570060000000002
80,80,1975-03-01,6.50902
81,81,1975-04-01,6.50902
82,82,1975-05-01,6.50902
83,83,1975-06-01,6.413880000000002
84,84,1975-07-01,6.413880000000002
85,85,1975-08-01,6.413880000000002
86,86,1975-09-01,6.33601
87,87,1975-10-01,6.33601
88,88,1975-11-01,6.33601
89,89,1975-12-01,6.27541
90,90,1976-01-01,6.27541
91,91,1976-01-03,6.27541
92,92,1976-01-06,6.27541
93,93,1976-01-09,6.27541
94,94,1976-01-12,6.27541
95,95,1976-02-01,6.27541
96,96,1976-03-01,6.10705
97,97,1976-04-01,6.10705
98,98,1976-05-01,6.10705
99,99,1976-06-01,6.131
100,100,1976-07-01,6.131
101,101,1976-08-01,6.131
102,102,1976-09-01,6.2222300000000015
103,103,1976-10-01,6.2222300000000015
104,104,1976-11-01,6.2222300000000015
105,105,1976-12-01,6.38075
106,106,1977-01-01,6.38075
107,107,1977-01-03,6.38075
108,108,1977-01-06,6.38075
109,109,1977-01-09,6.38075
110,110,1977-01-12,6.38075
111,111,1977-02-01,6.38075
112,112,1977-03-01,6.738389999999999
113,113,1977-04-01,6.738389999999999
114,114,1977-05-01,6.738389999999999
115,115,1977-06-01,6.9787300000000005
116,116,1977-07-01,6.9787300000000005
117,117,1977-08-01,6.9787300000000005
118,118,1977-09-01,7.23361
119,119,1977-10-01,7.23361
120,120,1977-11-01,7.23361
121,121,1977-12-01,7.503039999999999
122,122,1978-01-01,7.503039999999999
123,123,1978-01-03,7.503039999999999
124,124,1978-01-06,7.503039999999999
125,125,1978-01-09,7.503039999999999
126,126,1978-01-12,7.503039999999999
127,127,1978-02-01,7.503039999999999
128,128,1978-03-01,7.98968
129,129,1978-04-01,7.98968
130,130,1978-05-01,7.98968
131,131,1978-06-01,8.207130000000001
132,132,1978-07-01,8.207130000000001
133,133,1978-08-01,8.207130000000001
134,134,1978-09-01,8.35806
135,135,1978-10-01,8.35806
136,136,1978-11-01,8.35806
137,137,1978-12-01,8.44246
138,138,1979-01-01,8.44246
139,139,1979-01-03,8.44246
140,140,1979-01-06,8.44246
141,141,1979-01-09,8.44246
142,142,1979-01-12,8.44246
143,143,1979-02-01,8.44246
144,144,1979-03-01,8.3802
145,145,1979-04-01,8.3802
146,146,1979-05-01,8.3802
147,147,1979-06-01,8.363610000000001
148,148,1979-07-01,8.363610000000001
149,149,1979-08-01,8.363610000000001
150,150,1979-09-01,8.31254
151,151,1979-10-01,8.31254
152,152,1979-11-01,8.31254
153,153,1979-12-01,8.227
154,154,1980-01-01,8.227
155,155,1980-01-03,8.227
156,156,1980-01-06,8.227
157,157,1980-01-09,8.227
158,158,1980-01-12,8.227
159,159,1980-02-01,8.227
160,160,1980-03-01,8.054039999999999
161,161,1980-04-01,8.054039999999999
162,162,1980-05-01,8.054039999999999
163,163,1980-06-01,7.920730000000002
164,164,1980-07-01,7.920730000000002
165,165,1980-08-01,7.920730000000002
166,166,1980-09-01,7.774139999999999
167,167,1980-10-01,7.774139999999999
168,168,1980-11-01,7.774139999999999
169,169,1980-12-01,7.614260000000002
170,170,1981-01-01,7.614260000000002
171,171,1981-01-03,7.614260000000002
172,172,1981-01-06,7.614260000000002
173,173,1981-01-09,7.614260000000002
174,174,1981-01-12,7.614260000000002
175,175,1981-02-01,7.614260000000002
176,176,1981-03-01,7.25198
